,Turistas,DEXBZUS,14 a 17 anos,18 a 24 anos,25 a 39 anos,40 a 59 anos,60 anos ou mais,Total,PIB,Ingreso,IPCA,tipo_cambio_a3500,temp_max,temp_min
2012-01-01,88318.57205,1.785035,24.8,16.4,7.2,4.0,2.0,7.9,3.7,1387.0,0.56,4.319719354838709,31.8,20.7
2012-02-01,59186.46835,1.7167999999999999,24.8,16.4,7.2,4.0,2.0,7.9,3.4,1387.0,0.45,4.347506896551724,30,19.7
2012-03-01,59478.95959,1.7952999999999997,24.8,16.4,7.2,4.0,2.0,7.9,3.1,1387.0,0.21,4.3557225806451605,26.6,16.8
2012-04-01,70629.60541,1.8522476190476194,23.933333333333334,16.166666666666664,7.166666666666667,3.8666666666666667,2.066666666666667,7.766666666666667,2.8000000000000003,1394.6666666666667,0.64,4.396693333333333,23.3,12.8
2012-05-01,67893.16757,1.9810227272727274,23.066666666666666,15.933333333333332,7.133333333333333,3.7333333333333334,2.1333333333333333,7.633333333333334,2.5,1402.3333333333333,0.36,4.44907741935484,20.6,13.2
2012-06-01,75961.22703,2.048195238095238,22.2,15.7,7.1,3.6,2.2,7.5,2.2,1410.0,0.08,4.4969666666666654,16.6,7.9
2012-07-01,103488.45800000001,2.029552380952381,21.599999999999998,15.266666666666666,6.966666666666667,3.6333333333333333,2.033333333333333,7.366666666666666,2.1,1417.6666666666667,0.43,4.551841935483872,14.7,4.9
2012-08-01,75810.06247,2.027943478260869,21.0,14.833333333333334,6.833333333333333,3.666666666666667,1.8666666666666667,7.233333333333333,2.0,1425.3333333333333,0.41,4.608896774193548,17.3,10.2
2012-09-01,71647.47953,2.026857894736842,20.4,14.4,6.7,3.7,1.7,7.1,1.9,1433.0,0.57,4.669746666666667,20.2,11.1
2012-10-01,64131.01014,2.029731818181818,20.133333333333333,14.333333333333334,6.7,3.6,1.8,7.033333333333333,1.9,1440.0,0.59,4.7292,22.6,14
2012-11-01,64194.600470000005,2.0662200000000004,19.866666666666667,14.266666666666666,6.7,3.5,1.9,6.966666666666667,1.9,1447.0,0.6,4.795820000000001,27.7,17.1
2012-12-01,51707.38939,2.07746,19.6,14.2,6.7,3.4,2.0,6.9,1.9,1454.0,0.79,4.880780645161291,29.9,19.1
2013-01-01,62806.74965,2.028109523809524,21.3,14.933333333333332,7.0,3.6,2.033333333333333,7.266666666666667,2.0,1473.6666666666667,0.86,4.947641935483871,30.3,20.2
2013-02-01,40800.84164,1.9729315789473685,23.0,15.666666666666666,7.3,3.8,2.066666666666667,7.633333333333334,2.1,1493.3333333333333,0.6,5.0085107142857135,29.1,19.2
2013-03-01,40911.40871,1.9842142857142857,24.7,16.4,7.6,4.0,2.1,8.0,2.2,1513.0,0.47,5.087254838709676,25.2,15.4
2013-04-01,43643.06893,2.001109090909091,24.066666666666666,16.066666666666666,7.466666666666667,3.933333333333333,2.0,7.8,2.4333333333333336,1526.3333333333333,0.55,5.153176666666665,24.3,13.9
2013-05-01,48940.89849,2.0364727272727268,23.433333333333334,15.733333333333333,7.333333333333333,3.8666666666666667,1.9000000000000001,7.6000000000000005,2.6666666666666665,1539.6666666666667,0.37,5.235774193548387,19.4,10.6
2013-06-01,61684.03257999999,2.1733599999999997,22.8,15.4,7.2,3.8,1.8,7.4,2.9,1553.0,0.26,5.3303199999999995,17.8,8.1
2013-07-01,88711.243,2.251831818181819,22.133333333333333,15.266666666666667,7.0,3.6666666666666665,1.8,7.233333333333333,2.933333333333333,1563.3333333333333,0.03,5.440148387096776,16.3,7.7
2013-08-01,69146.25885,2.340790909090909,21.46666666666667,15.133333333333333,6.8,3.533333333333333,1.8,7.066666666666667,2.966666666666667,1573.6666666666667,0.24,5.581006451612904,18,7.3
2013-09-01,63796.49815,2.264105,20.8,15.0,6.6,3.4,1.8,6.9,3.0,1584.0,0.35,5.73681,18.8,10
2013-10-01,60633.61092000001,2.1882227272727275,20.033333333333335,14.366666666666667,6.3999999999999995,3.3333333333333335,1.7333333333333334,6.666666666666667,3.0,1588.3333333333333,0.57,5.846612903225805,23,13.9
2013-11-01,60191.556679999994,2.295936842105263,19.266666666666666,13.733333333333333,6.2,3.2666666666666666,1.6666666666666667,6.433333333333334,3.0,1592.6666666666667,0.54,6.011690000000001,26.1,16.1
2013-12-01,55572.83241,2.3470952380952377,18.5,13.1,6.0,3.2,1.6,6.2,3.0,1597.0,0.92,6.338141935483872,32.5,21.5
2014-01-01,64891.25955,2.3857809523809523,19.7,13.966666666666667,6.2,3.3666666666666667,1.7666666666666668,6.533333333333333,3.066666666666667,1618.6666666666667,0.55,7.055135483870968,31.2,20
2014-02-01,33445.31,2.3791999999999995,20.900000000000002,14.833333333333332,6.3999999999999995,3.5333333333333337,1.9333333333333333,6.866666666666667,3.1333333333333333,1640.3333333333333,0.69,7.8621,27,18.9
2014-03-01,56193.430329999996,2.3250523809523806,22.1,15.7,6.6,3.7,2.1,7.2,3.2,1662.0,0.92,7.926448387096773,25.5,15.9
2014-04-01,60596.37252999999,2.2324727272727274,21.666666666666668,15.566666666666666,6.5,3.6333333333333333,2.033333333333333,7.066666666666666,2.8333333333333335,1669.6666666666667,0.67,8.001099999999997,22.4,14.2
2014-05-01,61649.015629999994,2.219509523809524,21.233333333333334,15.433333333333334,6.3999999999999995,3.566666666666667,1.9666666666666666,6.933333333333334,2.466666666666667,1677.3333333333333,0.46,8.038567741935482,18.5,11.4
2014-06-01,58450.61174,2.2360190476190476,20.8,15.3,6.3,3.5,1.9,6.8,2.1,1685.0,0.4,8.126483333333333,17,7.8
