año;mes;Total;Brasil;Chile
2010;Enero;269762,3041;72669,22654;14726,65705
2010;Febrero;198385,5165;51701,833;18448,04946
2010;Marzo;212206,1794;45960,94046;13794,29349
2010;Abril;216812,5068;61494,83166;19320,48258
2010;Mayo;201169,6075;59239,7894;25898,00312
2010;Junio;208272,8857;79350,37894;21806,5143
2010;Julio;263971,8393;122434,7537;23925,73603
2010;Agosto;251042,4966;101167,8819;22009,34308
2010;Septiembre;236396,6641;92400,36438;25417,92088
2010;Octubre;238178,2944;83289,14558;25972,03018
2010;Noviembre;252025,6329;77830,84546;25133,2347
2010;Diciembre;256231,0727;61458,00896;21280,73512
2011;Enero;303476,4737;97209,73448;18854,72474
2011;Febrero;215702,9906;48061,26671;26260,82333
2011;Marzo;250417,5357;72773,99882;21282,45193
2011;Abril;245579,1395;76963,91234;21415,15569
2011;Mayo;216666,5058;73760,93669;23130,16576
2011;Junio;171232,3547;63197,15097;17316,67854
2011;Julio;256011,0805;107660,7863;28174,39974
2011;Agosto;226665,7452;83789,89005;22596,39496
2011;Septiembre;233506,1744;87222,32368;24245,2053
2011;Octubre;230332,4885;76303,71588;28115,92472
2011;Noviembre;252593,0394;70939,97847;26051,18211
2011;Diciembre;253861,4721;55001,30565;21136,89317
2012;Enero;297359,9078;88318,57205;16236,35786
2012;Febrero;222191,6584;59186,46835;22216,91347
2012;Marzo;249354,4338;59478,95959;22310,72867
2012;Abril;234762,4832;70629,60541;21376,92261
2012;Mayo;208499,4625;67893,16757;25035,78819
2012;Junio;199845,0543;75961,22703;22715,28921
2012;Julio;234025,089;103488,458;25841,0564
2012;Agosto;216211,4817;75810,06247;24209,98394
2012;Septiembre;202510,4294;71647,47953;26905,95965
2012;Octubre;204147,7164;64131,01014;25175,05907
2012;Noviembre;223859,2097;64194,60047;24167,72306
2012;Diciembre;235854,0738;51707,38939;18600,21786
2013;Enero;259566,827;62806,74965;16021,80883
2013;Febrero;188642,8477;40800,84164;19749,92845
2013;Marzo;210012,3253;40911,40871;19930,26273
2013;Abril;191534,9221;43643,06893;20123,21444
2013;Mayo;184213,5447;48940,89849;23976,52292
2013;Junio;185257,5332;61684,03258;20208,26264
2013;Julio;214282,7687;88711,243;25133,40335
2013;Agosto;209327,7982;69146,25885;24016,53953
2013;Septiembre;204140,4332;63796,49815;26169,05713
2013;Octubre;203807,3652;60633,61092;25036,17111
2013;Noviembre;233427,5985;60191,55668;26364,6604
2013;Diciembre;245781,0363;55572,83241;21348,16849
2014;Enero;254931,4644;64891,25955;16402,42762
2014;Febrero;184675,6395;33445,31;21610,36936
2014;Marzo;219048,8954;56193,43033;23069,2029
2014;Abril;206330,4138;60596,37253;21719,84314
2014;Mayo;196755,6881;61649,01563;25508,66279
2014;Junio;179047,8973;58450,61174;20169,49396
2014;Julio;213475,9371;81486,1279;24285,29038
2014;Agosto;234642,1562;85118,34229;27709,96486
2014;Septiembre;209854,9061;69467,5297;30176,74465
2014;Octubre;225447,7654;68096,77863;26969,85018
2014;Noviembre;238110,3425;62809,87818;27513,39397
2014;Diciembre;246637,8914;56955,34309;20929,75575
2015;Enero;267389,0316;68315,19199;18641,35969
2015;Febrero;200176,5357;43280,32919;24826,56763
2015;Marzo;204378,4319;39739,47871;20927,07257
2015;Abril;198318,8453;49667,1475;20842,01686
2015;Mayo;179788,0835;48815,39182;23958,68165
2015;Junio;175444,0705;54063,46057;20329,30137
2015;Julio;205431,494;73774,86789;25923,0444
2015;Agosto;196880,1336;62799,32389;21470,308
2015;Septiembre;183871,3717;54801,80811;24012,64749
2015;Octubre;185662,039;46820,00428;23857,59126
2015;Noviembre;206237,7047;41291,23958;24579,50306
2015;Diciembre;222293,2554;34443,75604;18907,90557
2016;Enero;54883;38487;16396
2016;Febrero;46317,00001;23715;22602,00001
2016;Marzo;44868;26808,99999;18059
2016;Abril;57850,00002;39399,00002;18451
2016;Mayo;66602,00002;45690,00001;20912
2016;Junio;68828,00001;49361,00001;19467
2016;Julio;91632,00002;70345,00001;21287,00001
2016;Agosto;84432,00003;64338,00002;20094,00001
2016;Septiembre;78842,00001;58354,00001;20488
2016;Octubre;78379,99997;55080,99998;23298,99999
2016;Noviembre;76009;52301;23708
2016;Diciembre;65062;45569;19493
2017;Enero;62989,00001;46279,00002;16709,99999
2017;Febrero;48394;26817,99999;21576
2017;Marzo;66441,00001;42302,00002;24139
2017;Abril;65751,00001;45565,00001;20186
2017;Mayo;73532;52396,00001;21135,99999
2017;Junio;77607,99998;58382,99999;19224,99999
2017;Julio;108944;86731,99999;22212
2017;Agosto;91266;69236,99999;22029
2017;Septiembre;92066;65764;26302
2017;Octubre;94816,99997;64308,99998;30508
2017;Noviembre;85545,00001;58755,00001;26790
2017;Diciembre;77716;55191;22525
2018;Enero;73825;56344;17480,99999
2018;Febrero;56322;33962;22360
2018;Marzo;55761,96712;35108,0171;20653,95002
2018;Abril;71816,9054;49415,84568;22401,05972
2018;Mayo;76340,00121;52262,00111;24078,00009
2018;Junio;75736,99999;57069,99998;18667
2018;Julio;122217,0002;93346,00021;28870,99996
2018;Agosto;103227;78239,00001;24988,00001
2018;Septiembre;104263;70203,00001;34060,00001
2018;Octubre;97516,00001;64194,00001;33322
2018;Noviembre;104559;68665,99998;35893
2018;Diciembre;96619,99998;68836,99998;27783
2019;Enero;110032,9999;82661,99985;27371,00003
2019;Febrero;75310,001;38387,00008;36923,00091
2019;Marzo;89936,00143;61902,99982;28033,00161
2019;Abril;87983;59837;28146
2019;Mayo;100509;69763;30746
2019;Junio;103149;74633;28516
2019;Julio;134932;103483;31449
2019;Agosto;113357;85849;27508
2019;Septiembre;110053;73857;36196
2019;Octubre;96556;67129;29427
2019;Noviembre;97575;64563;33012
2019;Diciembre;95460;68464;26996
2020;Enero;314013;75454;22108
2020;Febrero;76215;44684;31531
2020;Marzo;110163;23479;10961
2020;Abril;0;0;0
2020;Mayo;0;0;0
2020;Junio;0;0;0
